cytof_id,Eosinophils,Neutrophils,NonNeutrophils,NonEosinophils,B.cells,NonTB,NK,CD56bright.CD16neg.NK,CD56dim.CD16pos.NK,NonNK,CD14neg.CD16neg,CD123pos,Basophils,pDCs,mDCs,Classical.monocytes,Intermediate.monocytes,Nonclassical.monocytes,T.cells,CD4T,CD4T.TCM,CD4T.Naive,CD4T.TEMRA,CD4T.TEM,Tregs,CD8T,CD8T.TCM,CD8T.Naive,CD8T.TEMRA,CD8T.TEM,HLADRpos.T,TCRgd.cells
453610977,2.5148,39.9328,60.2491,58.0293,11.0807,32.6761,20.8727,0.4721,2.0138,11.8034,4.6467,0.3625,0.3613,0.0012,0.3216,4.1962,0.2228,2.7738,14.2098,7.6686,2.3691,4.9502,0.0566,0.2927,0.5757,5.8355,0.7528,4.8948,0.0903,0.0976,0.0951,0.3047
453610996,1.4676,27.0138,72.9862,71.7335,19.8379,23.2095,8.0413,0.3641,0.4364,15.1672,3.6385,0.1538,0.1538,0,0.3437,8.7177,0.1084,2.6286,28.5676,19.9092,4.1369,15.2321,0.2066,0.3335,1.5751,6.7331,0.9932,5.6425,0.0445,0.0528,0.2798,1.3129
453611001,1.8635,21.6141,79.3171,77.5933,18.4162,36.879,14.7471,0.7538,3.5049,22.132,6.2363,0.4283,0.4253,0.003,0.8147,7.8418,0.2043,7.898,22.2024,16.4314,4.3799,11.7081,0.1063,0.2371,1.111,4.353,1.0691,3.2104,0.0346,0.0388,0.1977,0.7371
453612800,1.1968,11.6302,88.3698,87.3382,26.7002,16.4651,5.3617,0.2992,2.7827,11.1034,4.9303,0.3047,0.3029,0.0018,0.3726,4.3962,0.5323,1.3051,43.9747,25.2538,4.89,19.7471,0.2882,0.3286,1.9329,16.4926,1.5694,14.6809,0.1854,0.0569,0.2405,0.9416
453612815,1.8669,6.9801,92.8981,91.2749,10.6272,35.477,15.2617,0.588,1.9913,20.2153,4.6835,0.289,0.2877,0.0013,0.6947,9.2816,1.3292,4.985,45.0991,24.1225,6.8431,16.5431,0.2575,0.4787,2.2111,19.2945,3.4222,15.6587,0.1495,0.0641,0.4736,0.9799
453612804,1.7886,18.9693,80.8851,79.338,11.2296,38.8232,11.7598,0.4101,2.2685,27.0634,8.0789,0.2506,0.2506,0,2.2588,14.979,0.5697,3.224,29.2463,18.4342,3.6542,14.2479,0.1972,0.3349,1.5198,7.0105,0.8858,6.0276,0.0449,0.0522,0.4926,2.8115
453612817,1.3798,19.6898,80.3102,79.1099,10.0194,32.8099,6.1046,0.2867,0.776,26.7048,9.7086,0.2328,0.2313,0.001,2.1081,14.0949,0.8466,2.0935,36.178,24.5962,4.4512,19.5051,0.2093,0.4306,2.2379,8.4508,1.0302,7.3619,0.0209,0.0377,0.2726,1.9271
453612828,3.1781,1.0972,99.028,96.1726,3.8411,55.8487,23.6999,0.6219,2.1142,32.1468,13.9974,0.4557,0.4557,0,2.2648,13.5397,0.7256,3.933,36.3028,29.0704,7.2715,21.3413,0.1917,0.266,1.6389,6.3328,0.9779,5.3138,0.0254,0.0156,0.3931,0.7256
453612830,6.2745,0.8522,99.1812,93.2325,6.567,62.5115,32.1998,0.5431,2.448,29.6265,12.1731,0.2256,0.2256,0,1.1363,9.015,0.1587,8.2129,23.5943,17.3615,5.9738,11.0368,0.0501,0.3008,1.7128,5.2051,2.2141,2.9493,0.0084,0.0334,0.2005,0.5096
453611345,3.4048,15.7243,84.9332,81.7012,13.9406,43.4389,10.2485,0.4333,4.3875,33.1897,15.3084,0.5351,0.5335,0.0016,1.4364,12.5168,1.4941,3.9013,23.5813,14.9406,4.3433,10.2256,0.0695,0.3023,0.9976,7.4537,1.4862,5.8381,0.0679,0.0616,0.217,0.8169
453611346,1.6299,15.4028,84.2121,82.7265,8.5848,26.9075,7.3168,0.439,4.7173,19.5882,6.6932,0.4536,0.4524,0.0012,0.6896,8.3745,1.4966,2.9725,46.8637,25.3228,6.5685,17.1598,0.2458,1.3487,1.4685,18.9817,6.4597,7.9783,1.7485,2.7952,0.4634,1.7595
453611359,2.4096,23.494,77.1084,74.0964,4.2169,28.3133,7.2289,0,4.8193,21.0843,7.2289,0,0,0,0.6024,10.241,0.6024,3.6145,35.5422,20.4819,3.012,12.0482,4.8193,0.6024,0.6024,10.8434,1.8072,6.0241,1.8072,1.2048,0,0
453611376,1.5808,30.7263,69.3659,67.9936,13.2434,21.4113,6.6887,0.6443,0.7899,14.7226,6.2781,0.3708,0.3708,0,1.5232,7.5037,0.309,0.661,32.7952,18.807,5.0231,12.6756,0.2388,0.8695,1.4656,11.4007,2.4922,7.114,0.8454,0.9491,0.4117,1.4687
453611379,3.4311,23.3288,76.6712,73.4448,12.5861,37.4875,17.4813,0.6066,3.4024,19.6455,8.4698,0.7077,0.7027,0.005,0.7102,7.8045,0.5429,2.8083,23.0255,13.526,4.6555,8.2302,0.0662,0.5741,1.0759,7.9556,1.7524,5.991,0.0686,0.1435,0.186,0.9461
453612791,7.4145,7.9642,92.4513,85.5928,3.2982,64.9792,41.1058,0.6328,2.6526,23.8734,9.2554,0.2685,0.2685,0,3.5794,9.0764,0.2493,5.2605,16.7657,10.3292,3.4452,6.2832,0.147,0.4538,1.3359,5.1071,0.7542,4.2761,0.0447,0.032,0.1406,0.8949
453612801,1.6943,11.903,88.097,86.2773,3.5967,36.1664,11.2446,0.6764,8.3945,24.791,5.51,0.4339,0.4339,0,0.9739,12.1661,1.4161,5.9756,46.0266,30.0117,7.3228,21.4822,0.4243,0.7824,1.8982,12.5229,2.8528,9.3601,0.1405,0.1694,0.4959,2.0497
453612812,1.7631,13.0525,86.9475,85.0882,4.4202,35.8642,9.7809,0.4935,6.444,25.9188,8.4399,0.3694,0.3694,0,1.0399,8.9366,1.6731,6.863,44.0837,20.9244,5.7487,13.7696,0.3011,1.105,1.2354,19.9901,11.9164,6.8537,0.1987,1.0212,0.3787,1.5831
453612827,1.1608,27.4663,72.5337,71.6881,8.956,20.9885,9.6982,0.7412,1.0575,11.2903,3.0212,0.229,0.2279,0.0011,0.6602,7.3415,0.2811,0.6358,41.2964,20.3389,6.0178,13.3455,0.1661,0.8093,2.0042,17.5094,9.3393,6.9028,0.18,1.0873,0.6443,1.6741
