cytof_id,B.cells,Basophils,cDC,Eosinophils,gdT,Memory.B.cells,Memory.CD4.T.cells,Memory.CD8.T,Monocytes,Naive.CD4.T.cells,Naive.CD8.T.cells,Neutrophils,NK.cells,NKT,pDC,Treg
453610993,20.7750071419826,0.154062767824348,0.220381177814961,1.87630086111905,0.500959066236787,0.400971309635555,3.45773986858752,0.0877443578337346,6.7246867730482,11.0353834224381,5.13916663265723,44.8945027139534,3.19858792800882,0.290780720728074,0.225482593968086,1.01824266416357
453610995,9.17397660818713,0.337069525666017,0.345191682910981,0.150259909031839,0.875162443144899,0.193916504223522,3.05190058479532,0.0588856400259909,10.5364684860299,22.6090399610136,5.17787524366472,42.8230588044185,2.6356400259909,0.262954840805718,0.375649772579597,1.39294996751137
453610996,19.8663796604663,0.491430428072456,0.364511412557875,0.00304605637234993,1.31589635285517,0.544228738526521,13.2950207131833,0.295467468117943,0.0842742263016814,7.21813825034522,5.35192104621883,49.1135975956462,1.3179270571034,0.0964584517910811,0.210177889692145,0.431524652749574
453610997,5.61301932556138,0.136139582192317,0.550817619904546,0.607151240122056,0.528910100931069,0.384946404819654,3.06392301071904,0.0625929113527893,0.604021594554417,5.67561223691417,3.78687113684375,76.0050074329082,2.0780846569126,0.215945544167123,0.453798607307722,0.23315859478914
453610998,11.3084238988589,0.399845490515414,0.773591405931911,0.0125277960474803,1.57119442095483,0.694248697631203,8.50219758422333,4.71775919488031,0.794471066011045,13.6135383715953,5.52267009093092,43.5727186361406,7.06567697077892,0.2338521928863,0.298579139131615,0.918705043481892
453610999,17.7418210924123,0.470116211917041,0.3900748741122,0.0141845408768073,1.90376802196577,0.726451129190772,11.373975420217,0.261400824729734,0.281664454553744,21.4277753573998,6.04160123202869,30.2414411493531,7.73868022978956,0.0435668041216223,0.31307308078096,1.03040557655093
453611000,13.5082404887816,0.376854751758484,0.398418647635673,0.0770139138471017,3.59500949838271,0.432304769728398,9.57950403039483,4.93299789495302,0.647943728500282,17.4421112080916,6.11387790727525,36.9235508548544,4.53457924731735,0.144786158032551,0.260820454895518,1.03198644555116
453611001,17.3639722629954,0.357341701675356,0.26825935111606,0.00101229943817381,0.491977526952473,0.362403198866225,14.6864402490257,0.252062560105279,0.0597256668522549,3.17963253530394,4.12107101280559,53.6741408108518,4.61304853975806,0.0799716556157311,0.209545983701979,0.279394644935972
453611002,19.1520720464317,0.689157459265509,0.361858488935872,0.0477734521909718,1.65987334952887,0.691190372124699,9.8626767363617,0.114859576544251,0.357792663217491,18.7790325367703,8.26379077260853,30.1125217267562,7.98426525446987,0.313068580315305,0.285624256716236,1.32444272776247
453611003,12.6679344825471,0.184037789092694,0.654356583440689,0.566427417540846,1.2862196593256,0.400793407357422,6.25421753266671,0.267877226346032,2.28922560988078,11.9931292558739,3.19714536940474,53.3607345152649,5.78594360264196,0.0633907940208167,0.31797640226571,0.710590352330123
453611004,14.456862421643,0.235070933685252,0.225791817881887,0.00309303860112174,1.30010722533817,0.205171560541076,9.48325635103926,1.98263774331904,5.49220554272517,10.3565242494226,5.23342131309799,40.2765176509403,9.27911580336523,0.423746288353679,0.243319036621577,0.803159023424612
453611005,17.8805032090324,0.34086372616257,0.315273356330546,0.00102361479328099,1.27030595846171,0.234407787661347,11.3344866060004,2.61533579683294,6.05877596143019,9.1603287850716,4.22138740749081,37.0702097386711,8.30151597350885,0.330627578229761,0.334722037402885,0.530232462919554
453611006,12.0875099119614,0.29380070349511,0.406644572311571,0.0315149543541468,1.13453835674928,0.393428623711445,6.98818697517435,0.226704349063701,0.571335624097757,18.3650854970213,5.24571498281927,45.0033548177216,7.36229998170099,0.139275766016713,0.528637944005042,1.22196693979627
453611343,15.4364120168187,0.279295565802035,0.23562389551299,0.00507810119640064,0.408279336190612,0.262030021734273,4.84653978184477,0.0863277203388109,7.65168288273649,20.9065426255814,7.23121610367451,31.4456338485913,9.18628506428876,0.678434319839126,0.187889744266824,1.15272897158295
453611345,13.3862722307368,0.293152573056707,1.26107036690359,0.0185148993509499,0.618191917217828,0.93911683930096,12.5397298881906,0.43612874026682,0.380584042213971,4.81387383124698,7.48413375986176,50.280295004063,6.64273444491303,0.161491066561063,0.500930887995145,0.243779508120841
453611346,8.35161882584748,0.127625274282388,0.504903497380323,0.0369441583449017,1.95020375263087,0.411983341543146,19.898347588554,10.2850297792307,0.1992745510725,6.61076530383771,7.11342976131835,35.3813084949174,8.21839595181586,0.090681115937486,0.369441583449017,0.450047019837894
453611347,13.1656940328149,0.387016611160337,0.304520965097212,0.305539429863424,1.51140171305774,0.263782374448756,6.14337946978724,0.137492743438541,9.91882835813295,22.950085041808,10.0990966217524,25.0532147840345,6.94185584649699,1.12132970759877,0.222025319034088,1.47473698147413
453611356,17.1414028300926,0.354270589432963,0.181207370457091,0.293189453323832,1.19413621093352,0.37564898707116,5.29268044385626,0.147612745597068,6.20889748549323,18.3487732871831,8.25104346940853,35.5268247989413,4.40496793240354,0.891784587193322,0.260612847398962,1.12694696121348
453611357,7.69723529950075,0.232848993868649,0.190143064862172,0.0437227368399646,0.36503401222203,0.129134594852919,4.19433231313614,0.129134594852919,8.98756444019645,16.540413027342,5.80088869004647,41.1817340640792,12.8351652821133,0.636521703763206,0.244033880037012,0.792093302286801
453611359,5.38461538461539,NA,2.30769230769231,0.512820512820513,NA,3.84615384615385,10.2564102564103,0.512820512820513,1.28205128205128,9.23076923076923,7.43589743589744,55.8974358974359,2.30769230769231,NA,NA,1.02564102564103
453611373,8.43612277361984,0.337705687537487,0.279030954181553,0.0143427125981172,1.67679349101625,0.121261115602264,8.01888022531098,0.117349466711868,6.12824992828644,6.28210811797533,4.53099329804157,59.4583670169766,3.44746655540199,0.401595952747281,0.307716379377787,0.442016324614703
453611376,13.2270361109973,0.169078165348199,0.27667336147887,0.0174201746116326,1.74714104193139,0.426281919908185,15.5767102512604,3.86215518301431,0.138336680739435,5.35106775423208,6.42804443169242,47.9218756404476,3.6889781530516,0.136287248432184,0.313563143009386,0.719350739845063
453611379,11.6236008821204,0.392169100819706,0.458744226688304,0.256938376399118,0.645986768193734,0.656389131610702,10.5625598135896,0.619980859651313,0.251737194690634,3.68763783131527,6.2102109599301,58.3947072774935,5.44251653975783,0.104023634169683,0.460824699371697,0.231972704198394
453611384,15.7736915398611,0.261234613077994,0.201262464550361,0.0579391943402555,0.540765813842385,0.285630063326523,5.04070990760223,0.142306793116417,8.40219965643074,17.1957429939316,7.20377316297177,37.1867979955072,6.05413757000986,0.650545339960764,0.174834060114455,0.828428831356285
453611387,11.0336699652531,0.150366773007132,0.291589620628696,0.0650234694084896,2.37335663340987,0.209294292158576,5.20898949464572,0.213358258996607,9.14697336069738,20.3970495600756,10.2442444069656,25.7056062422531,12.5759453802857,1.07390323694959,0.126998963688456,1.18363034157641
453611439,6.7746581008896,0.171587903052835,0.6577536283692,0.122562787894882,1.01012164356699,0.216527591947625,4.26722773187347,0.114391935368557,21.4311248199859,19.2239732813122,9.24940505980043,31.0798802970105,4.21922397328131,0.392200921263622,0.1644384070923,0.904921917290545
453611440,11.8114014499557,0.389088822823763,0.909612475877536,0.0396390757836541,0.734366035570855,0.636311479684974,4.7452146247327,1.07442758045168,12.1264277890784,22.4200698899494,10.2341834871955,29.7386950398999,3.18677306629114,0.313983205549471,0.262869660460022,1.37693631669535
453611441,11.8175428441486,0.149876997498605,0.309056705186778,3.13294606495359,0.358671159531143,0.285283112480103,3.31900026874496,0.166415148946726,8.37864097740475,18.6736402538606,5.19297955471027,42.4751410911045,4.28958303185661,0.181919665929341,0.269778595497488,0.999524528145867
453611442,6.54871154834447,0.679622851269573,0.661793239430711,0.265346576190127,1.37183131089599,0.24332176156565,7.04164787565419,0.908261403085572,19.4678385266448,15.3806622127597,9.37627822584874,32.7068497173482,3.67080243741282,0.544327561433501,0.227589751119595,0.905115000996361
453611443,19.5569323577965,0.452442578515092,0.322008682006236,0.00101901481647543,1.08321274991338,0.568610267593291,3.48604968716245,0.138586015040659,4.37870666639493,25.7505044123342,11.0175881957324,27.3177492000734,4.01186133246377,0.39028267471009,0.162023355819594,1.36242280962765
453611444,9.59110782683663,0.360243857380381,0.293532031939569,0.167292731490034,0.515220559558265,0.214504177186608,4.16589691483466,0.135476322433647,9.12104604142291,24.3754746802964,8.67151097152945,37.909764558573,2.21893794773898,0.166266395714022,0.205267155202496,1.88845782786296
453611445,9.5507115066887,0.348558332889197,0.329371635665938,0.108724617598465,0.513777114533923,0.318712359430795,2.41539199488355,0.687523317166764,7.74076640196131,9.17870276608218,3.41310025049299,62.3674252518254,2.17236049672227,0.0650215850343762,0.153493577786068,0.636358791238075
453611446,6.47448600445876,0.432458095945834,0.583147551812402,0.416976302534886,1.21583684253984,0.159978531913137,5.03880769548345,0.113533151680291,22.2721080009908,19.3460490463215,10.585418214846,27.3903889026505,3.90037981999835,0.304475270415325,0.357113368012551,1.40884320039633
453611447,11.4888164268822,0.341705820458594,0.549021242017315,0.106262175874319,0.8407213326527,0.405254768775589,4.54218712560814,2.64926189459209,11.4252674785653,19.6251653835335,12.7868818302097,28.9418579212201,4.18277094250383,0.239610788736209,0.395878694433737,1.4793361739366
453611448,10.6322044090219,0.180396873120866,0.312891751684214,0.0346525067011833,4.04924732717062,0.191607978230072,22.3661546928667,0.260912991632439,2.7426439862613,1.8141606449443,8.07607244412283,35.8704403925925,11.8032552972472,0.218106953942742,0.368947277230246,1.07830447323094
453611449,3.77399414380219,0.0939883599031197,0.213281278241695,1.33029678632108,0.310884575064165,0.122907855257926,6.83946065141163,0.231355962838448,1.62310667678849,2.80157611249684,5.57784766655822,73.8748508838521,2.81965079709359,0.0867584860644182,0.0506091168709106,0.249430647435202
453611450,15.0054009567409,0.618280952625894,0.591533357337586,0.089501568849339,0.801399104984312,0.557584486394733,4.07489326680726,0.122421686127257,8.23517308780412,23.2004526516126,8.04485365979116,33.3377912658814,3.49261869245409,0.353891260737616,0.36726505838177,1.1069389434699901
453611451,11.727366255144,0.1440329218107,0.473251028806584,0.0185185185185185,0.502057613168724,0.402263374485597,3.68930041152263,0.0720164609053498,6.79012345679012,21.2716049382716,6.64711934156379,44.0185185185185,2.23971193415638,0.452674897119342,0.187242798353909,1.3641975308642
453611452,18.1460777689047,0.385977844666953,0.390073100313287,0.00102381391158343,0.554907140078219,0.411573192456539,17.4642177037902,2.76429756127526,3.77992096156603,2.66498761185167,10.4132112947151,39.6441222843336,2.6383684501505,0.165857853676516,0.103405205069926,0.471978213239962
