protein,eta_squared,p_value,p_fdr
BANK1,0.03155590894318247,0.0187605105796881,0.0335813139376417
IL6,0.03150450761233148,0.018884385820884322,0.03363487623819198
CXCL3,0.031293208765075194,0.019402187989983676,0.034386055942644336
CCL3,0.03104305101241071,0.02003344905645893,0.03532992493700639
WNT9A,0.030998732727878585,0.02014738953782746,0.03535669340461878
GZMB,0.030554704328573726,0.021325053693058166,0.03692737218915781
IL13,0.030548625199785625,0.021341641820035645,0.03692737218915781
PDGFB,0.03054488266089452,0.021351860455742087,0.03692737218915781
FASLG,0.030471925328421804,0.021552035608241985,0.037094368979570344
IL1B,0.030422613015853816,0.02168838843010387,0.03715044525347935
PKLR,0.030231736072877616,0.022224294088765553,0.0378871299227527
IL1RL2,0.03009517904530435,0.022615731218239815,0.03837171457881447
CD70,0.029735977913090385,0.023678328853478356,0.03998510249785496
PRKCQ,0.029340970754677172,0.02490408838531471,0.041857575783768385
CCL11,0.02800723496694653,0.029526774312443778,0.04939525796193866
PRKAB1,0.027228925031497573,0.0326077187110052,0.054295643249022606
CCL25,0.027040531850306557,0.03340018213164853,0.05535770927375081
AMBN,0.026645847768666707,0.035122858052493725,0.05794462296217859
PARP1,0.02655861718742008,0.03551532688443748,0.05832333497536063
PSIP1,0.0260763203365223,0.03776510807101299,0.061734742874076036
DNER,0.0257866464299263,0.039183722513084385,0.0637626029985646
CCN2,0.02552091904305818,0.04053148858387586,0.06565734349786226
CLEC4A,0.02501292529612071,0.04323728689320519,0.0697249941791327
ANGPT1,0.024943238546138956,0.04362218151813321,0.07003022862552327
IL24,0.024708957752639156,0.04494125395671392,0.07182575409153386
DGKZ,0.024390784389917253,0.04679622895528763,0.07440887539129039
GLOD4,0.024361085931609374,0.046973200666010136,0.07440887539129039
LAT,0.02399572394420577,0.04920546372305941,0.07760156833856946
MAP2K6,0.02348654672967409,0.052492907461067655,0.08242307399588693
CSF3,0.023168555488534987,0.0546555505681773,0.08544404848649552
CCL13,0.02266360869483696,0.05827263993460752,0.09070263085473691
EDAR,0.022200075399118006,0.061801630113608806,0.09577914969987858
TANK,0.02205100655109742,0.06298096340710609,0.09718614180924129
DAG1,0.021752135152960577,0.06541309152276273,0.1005059517817556
IL32,0.02127355730992698,0.06950306049203646,0.10633374212029509
IL20,0.020918547440197853,0.0726999501907015,0.11075141348200483
IL33,0.02013294103026985,0.08030222431470357,0.12181439112145712
NFASC,0.019461864468761338,0.08741715123542045,0.13204784870160557
EGF,0.019110736725676914,0.09138556908196506,0.13746232660228358
HSPA1A,0.018877534273215153,0.09411943611880724,0.14098225159218825
DNAJA2,0.018733241139189245,0.09585147353589143,0.14270357738393163
CD83,0.018715564742914702,0.09606581606013274,0.14270357738393163
TPSAB1,0.01863478292376176,0.09705143680705039,0.1435719602352233
IL3RA,0.018588678735925224,0.09761844422214219,0.14381647338076914
IL17A,0.018523730252312978,0.09842278530654254,0.144014077870943
PRELP,0.01849747882577376,0.09874975312978759,0.144014077870943
CCL21,0.01848069258685027,0.09895939429120665,0.144014077870943
PAPPA,0.018441108486219986,0.09945550458943617,0.14415008357497225
GBP2,0.018310533983762183,0.10110956080654111,0.14595654342234565
HLA.DRA,0.018146144729518345,0.10323081745080338,0.1484202114352916
CRHBP,0.018033938518739426,0.10470400104174118,0.14993612949177337
IL10,0.017650791490981022,0.10989338385365385,0.15674036422154614
DNPH1,0.01720565157877219,0.11624349233320913,0.16513956450511458
MYO9B,0.01694588623540477,0.12011595248454204,0.16996644659868004
CCL4,0.0164762128269842,0.1274452466408879,0.1796275523521176
FXYD5,0.015645095920153507,0.14151808825712375,0.19868029645509921
VASH1,0.015332154877282145,0.147207435461721,0.20586039802850045
LHPP,0.014975542786630134,0.15396772921998186,0.21447644770721208
SIGLEC1,0.014865722119419446,0.15611096303389224,0.21661908824082723
IL4,0.01448905618618542,0.1636891781642889,0.22625762850507886
GOPC,0.014452707699908002,0.16443950762860715,0.22642055281169754
TGFB1,0.014369496378197264,0.1661700800747324,0.22792677650097395
CTSC,0.014294300811407529,0.1677494790232603,0.2292149369859816
CST7,0.014020165202315171,0.1736345218533995,0.2363542160590001
CXCL6,0.013460655599818364,0.18628884763408599,0.2526189676250105
MMP10,0.013274584069575298,0.19069663966736528,0.2576203660411953
DAPP1,0.01291460324677513,0.1995198601414651,0.26852672906257335
HCLS1,0.012837080692216594,0.20147231250975642,0.27013890591195805
CD40,0.012573737286681602,0.20824739595129424,0.2781812229498632
LAP3,0.012428626924826247,0.21207675295929226,0.282243411001586
NBN,0.012319914679551756,0.2149912799543062,0.2850625119394134
IL15RA,0.01207534881781041,0.22169401295459915,0.292865153644821
SHMT1,0.012030180911298647,0.22295439870197584,0.2934473335856888
RABGAP1L,0.01168874773350286,0.23271466831868282,0.3051716163299943
LILRB4,0.0113483650134553,0.24286661800539844,0.31732207753990016
TRAF2,0.011205026699101164,0.24727202934299414,0.3219032236537887
PSMG3,0.0110507333855817,0.2521027477143723,0.32700283942661335
MGMT,0.010991512324621956,0.25398163964626547,0.3282506389652095
TNFAIP8,0.01095301466231781,0.25521048834732546,0.32865235549763494
PRDX3,0.010740213005535942,0.2621102999125028,0.33632791171568455
ATP5IF1,0.010145992646618876,0.2823722785619474,0.36103312758991846
TREM2,0.009735313082065808,0.2972762695525794,0.3787363149459908
ACTN4,0.009476549430377866,0.3070651106747969,0.38982024688502587
CASP2,0.009291647874778928,0.3142550130590396,0.3975381437283964
SH2D1A,0.009195460104326144,0.31806105539475493,0.4009361191243742
