protein,lrt_chisq,lrt_df,p_value,p_fdr
AXIN1,1.2567010964503424,2,0.5334710104057409,0.8614718688319216
ANXA11,0.5693136132466634,2,0.7522723849224483,0.9307852054633672
CD4,0.6195791616971746,2,0.7336013037486923,0.9294716053278546
IL17RB,0.020299688814134242,2,0.9899014914332738,0.9954627357671685
PIK3AP1,0.13614406177907767,2,0.934193180387864,0.9835764529340022
MGMT,0.40760936900380784,2,0.8156216591817004,0.9505368552016172
HEXIM1,0.18148574659221595,2,0.9132525023181426,0.9835764529340022
CLEC4G,2.803122495382837,2,0.24621226538395105,0.8283552355213178
NTF3,1.7985673221107845,2,0.4068610057603589,0.8555327144056164
TNFSF11,4.331683113065424,2,0.11465340666274401,0.7760494874942448
MICB_MICA,2.5135420959306884,2,0.2845714120456726,0.8439922155429567
BANK1,0.03602450581456651,2,0.9821489981039614,0.9954627357671685
CD200R1,1.6937069402985117,2,0.4287619238545362,0.8555327144056164
KRT19,2.261703994450386,2,0.32275815019564863,0.8555327144056164
PLXNA4,2.5073586411272117,2,0.2854525907583155,0.8439922155429567
CD70,9.410414183460489,2,0.00904804024955721,0.3230798306188107
TGFA,0.9736535181805834,2,0.6145734929937555,0.9027866491588268
IL5RA,6.5401220498863495,2,0.038004107805889135,0.7145530989526866
SLAMF7,3.5350863498930494,2,0.1707519816650889,0.7760494874942448
CD200,3.241466241122609,2,0.1977536686471543,0.7862023558020971
GZMB,2.6679970467013163,2,0.2634218542358636,0.8439922155429567
IL32,5.074921356189236,2,0.0790669214540386,0.7760494874942448
LIFR,3.3022185622302516,2,0.19183698939942828,0.7760494874942448
CD84,5.74408909880421,2,0.05658312124860908,0.7760494874942448
CLEC4D,3.295978042260913,2,0.1924365055176993,0.7760494874942448
CCL3,5.897487630819114,2,0.05240549559383117,0.7760494874942448
TNFSF10,9.425036666133138,2,0.008982129083495237,0.3230798306188107
TLR3,4.339250772446462,2,0.11422039743171587,0.7760494874942448
CXCL6,1.3426205857524565,2,0.5110385287584635,0.8614718688319216
PCDH1,3.4966314202283257,2,0.17406687576804064,0.7760494874942448
HPCAL1,1.8163575731801984,2,0.40325797450354384,0.8555327144056164
CKAP4,3.3883112871205583,2,0.18375431768491438,0.7760494874942448
FKBP1B,3.685765690488779,2,0.15836023936129204,0.7760494874942448
DFFA,0.13533518591520988,2,0.9345710799590763,0.9835764529340022
TGFB1,4.592494587660326,2,0.10063579255094497,0.7760494874942448
CXCL17,2.3036635569192185,2,0.31605729186463094,0.8555327144056164
NUDC,1.051626089672368,2,0.5910745988009639,0.890732950059675
