protein,timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
CSF3,V5,41,41,0.27541680487437475,-0.1149592242972622,-0.5482171487088957,0.3182987001143713,0.966658981813982
AMN,V1,43,43,0.9247053679747859,0.01648672356316169,-0.4062250993174779,0.43919854644380124,0.9974350922814665
AMN,V3,41,42,0.7684148340099727,0.035026298877881834,-0.3953146362529961,0.4653672340087598,0.9671590749349257
AMN,V5,41,41,0.17371023889713388,-0.23448380748543826,-0.6688974991678346,0.19992988419695804,0.8908447177171912
ITGB6,V1,43,43,0.3265498723072553,0.27144108451498605,-0.1532516182323082,0.6961337872622804,0.9974350922814665
ITGB6,V3,41,42,0.16847776753800905,0.0011334103605196932,-0.42917375679475,0.43144057751578935,0.9531863394505088
ITGB6,V5,41,41,0.4007042259344762,-0.13733441572809188,-0.5707487306283706,0.2960798991721869,0.9715791351870459
JCHAIN,V1,43,43,0.5246306552180666,0.1483460250809999,-0.2749532615405419,0.5716453117025416,0.9974350922814665
JCHAIN,V3,41,42,0.2944765045037564,-0.23764060726692263,-0.6695010083691967,0.1942197938353514,0.9531863394505088
JCHAIN,V5,41,41,0.0727252829218444,-0.3569696571199115,-0.7933807618034243,0.07944144756360128,0.8227468565955679
IFNG,V1,43,43,0.019929077907942818,0.34825189888836167,-0.07772031269308605,0.7742241104698093,0.9974350922814665
IFNG,V3,41,42,0.3159582407694676,0.23470050727552766,-0.19712176435643441,0.6665227789074897,0.9531863394505088
IFNG,V5,41,41,0.5547633789274014,-0.14830111693567904,-0.5818021886693683,0.28519995479801025,0.9715791351870459
SLAMF1,V1,43,43,0.18490898372063957,0.2621077479024215,-0.16245087060545288,0.6866663664102959,0.9974350922814665
SLAMF1,V3,41,42,0.15212826128781382,-0.24937183326852078,-0.6813890640867303,0.18264539754968875,0.9531863394505088
SLAMF1,V5,41,41,0.3904048356524618,0.10614749441240079,-0.3270564409319194,0.539351429756721,0.9715791351870459
ENAH,V1,43,43,0.9315328519506949,-0.027800057015024394,-0.45052543135940504,0.3949253173293562,0.9974350922814665
ENAH,V3,41,42,0.8102709231223275,-0.012040504397803627,-0.44235163078060996,0.4182706219850027,0.9746018750194912
ENAH,V5,41,41,0.5242243111806397,-0.19033160821971548,-0.6242266544215942,0.24356343798216326,0.9715791351870459
IL15RA,V1,43,43,0.3016449438883953,0.27545455908352867,-0.14929723078554719,0.7002063489526045,0.9974350922814665
IL15RA,V3,41,42,0.2083108128620338,-0.22247965436299538,-0.6541484896823611,0.2091891809563703,0.9531863394505088
IL15RA,V5,41,41,0.13113464093362753,-0.3864140807691133,-0.8234268898642667,0.050598728326040066,0.8749579008731869
PARP1,V1,43,43,0.9110673444037675,0.05547729969028626,-0.36731040969977985,0.47826500908035235,0.9974350922814665
PARP1,V3,41,42,0.8883340984505821,-0.015686524258604388,-0.44600043615648177,0.414627387639273,0.993568009111052
PARP1,V5,41,41,0.7314928664577633,-0.023601028002177355,-0.45650805696549984,0.40930600096114517,0.9715791351870459
FABP9,V1,43,43,0.8906600534140682,0.14583277441679665,-0.2774465419892777,0.5691120908228711,0.9974350922814665
FABP9,V3,41,42,0.6801262811709131,-0.018531902537289435,-0.4488484971866428,0.411784692112064,0.9671590749349257
FABP9,V5,41,41,0.44348687132460457,-0.23275297997428437,-0.6671443225252176,0.20163836257664883,0.9715791351870459
SRPK2,V1,43,43,0.8770940643739881,-0.03582912388778767,-0.45856831571258927,0.3869100679370139,0.9974350922814665
SRPK2,V3,41,42,0.09660860244382251,-0.330449938186078,-0.7637554693044011,0.10285559293224511,0.9531863394505088
SRPK2,V5,41,41,0.6780266416376619,0.019735000890396984,-0.41316738202307873,0.4526373838038727,0.9715791351870459
FGF2,V1,43,43,0.42183366693080154,0.02036923822133646,-0.40234645498341226,0.4430849314260852,0.9974350922814665
FGF2,V3,41,42,0.9819323423259685,0.0063757353687433896,-0.4239325164686445,0.4366839872061312,0.9963861751691634
FGF2,V5,41,41,0.3752574401399553,0.009611977516060216,-0.4232821668631438,0.44250612189526417,0.9715791351870459
ITM2A,V1,43,43,0.4700806661745987,-0.002715362136959069,-0.425420032524873,0.4199893082509549,0.9974350922814665
ITM2A,V3,41,42,0.7753481969450382,-0.015109123140667698,-0.4454225450917156,0.4152042988103802,0.9671590749349257
ITM2A,V5,41,41,0.7468013438706507,-0.09265959273735498,-0.5257892119187854,0.34047002644407537,0.9715791351870459
BACH1,V1,43,43,0.630288573399666,-0.07844433085333292,-0.5013152096083328,0.34442654790166694,0.9974350922814665
BACH1,V3,41,42,0.3159582407694676,-0.1735611369526509,-0.6046974992838539,0.25757522537855204,0.9531863394505088
BACH1,V5,41,41,0.3904048356524618,-0.14513581990747046,-0.5786111690849834,0.2883395292700426,0.9715791351870459
IFNLR1,V1,43,43,0.3709087086835473,0.23822740213996374,-0.1860093308084645,0.662464135088392,0.9974350922814665
IFNLR1,V3,41,42,0.7684148340099727,-0.19726084167805036,-0.6286388275264219,0.23411714417032115,0.9671590749349257
IFNLR1,V5,41,41,0.30546508930208366,-0.22850693892451585,-0.6628441514825818,0.20583027363355005,0.9715791351870459
TRAF2,V1,43,43,0.0656294700258375,-0.42034772725634456,-0.8478046627217637,0.0071092082090745135,0.9974350922814665
TRAF2,V3,41,42,0.6149784304047602,-0.09723408445576244,-0.527801648153308,0.33333347924178314,0.9629896289171037
TRAF2,V5,41,41,0.6866379674418454,-0.10377889897673817,-0.5369690547845151,0.32941125683103867,0.9715791351870459
SULT2A1,V1,43,43,0.20844654830235498,0.12786263340611115,-0.295283811149279,0.5510090779615013,0.9974350922814665
SULT2A1,V3,41,42,0.11228792791413918,-0.19706042893283035,-0.6284362426513255,0.23431538478566474,0.9531863394505088
SULT2A1,V5,41,41,0.07959773693010244,-0.40957050492742164,-0.8470893632585348,0.027948353403691506,0.8227468565955679
SPINK4,V1,43,43,0.9520432528729847,0.04888293589818908,-0.37388616256411045,0.47165203436048864,0.9974350922814665
SPINK4,V3,41,42,0.9419125173585579,-0.0052207201956195465,-0.4355286029699273,0.4250871625786882,0.993568009111052
SPINK4,V5,41,41,0.2633412120896808,-0.21561206545643302,-0.6497909598575042,0.2185668289446382,0.9618175909306087
NUB1,V1,43,43,0.763604249140777,0.0012312398379230012,-0.4214732721230926,0.4239357517989386,0.9974350922814665
NUB1,V3,41,42,0.38634226725453985,-0.17018511222358554,-0.6012895582839431,0.2609193338367721,0.9562180802473277
NUB1,V5,41,41,0.6313778512399456,-0.03759525886331761,-0.4705260359732274,0.3953355182465922,0.9715791351870459
