protein,follow_up_timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
ARTN,V3,41,42,0.22881387132033235,-0.2889586277841634,-0.7215603413180862,0.14364308574975942,0.8183649169894438
ARTN,V5,41,41,0.32741136516917635,-0.30172715901368097,-0.7371361334591782,0.13368181543181618,0.8143362255792861
RABGAP1L,V3,41,42,0.5897021890780707,-0.11999158130842874,-0.5506952558766361,0.31071209325977867,0.8422526363383754
RABGAP1L,V5,41,41,0.9338465291873692,-0.0522387771282933,-0.4852060306200308,0.38072847636344426,0.9964165017853371
NCLN,V3,41,42,0.21499339936765766,-0.3724349286972901,-0.8065472247936123,0.06167736739903201,0.8183649169894438
NCLN,V5,41,41,0.15668459590645664,-0.31649234204507776,-0.7521529224135586,0.11916823832340301,0.7011635666813935
IL22RA1,V3,41,42,0.7408692513255808,-0.006438717463320966,-0.43674699153916396,0.423869556612522,0.9433111059295798
IL22RA1,V5,41,41,0.2050613746791471,-0.3080399670782168,-0.7435550618212737,0.12747512766484015,0.7568244550013883
IL2RB,V3,41,42,0.9747073320329979,-0.10438466337000579,-0.5349919259169031,0.3262225991768915,0.9874488161592604
IL2RB,V5,41,41,0.06207731732293713,-0.4133115762953512,-0.8509148957916782,0.024291743200975824,0.6321136273041945
MYO9B,V3,41,42,0.29029920129367126,-0.3155706878623395,-0.748613112098637,0.11747173637395802,0.8183649169894438
MYO9B,V5,41,41,0.48873697485721673,-0.16100412234771072,-0.5946139896621027,0.2726057449666812,0.9065691036211585
AOC1,V3,41,42,0.39639348049278,-0.25551812429198206,-0.6876205146123969,0.1765842660284328,0.8183649169894438
AOC1,V5,41,41,0.6847969076513309,-0.2601309127177607,-0.6948950244314231,0.17463319899590185,0.9747639644069522
IL20,V3,41,42,0.7822993194060897,0.04848142949948336,-0.38189046224462664,0.47885332124359337,0.9591203984499318
IL20,V5,41,41,0.8826815127850661,-0.07142100582049193,-0.5044540253496707,0.3616120137086868,0.9964165017853371
RGS8,V3,41,42,0.2359538527112615,-0.21106370925012122,-0.6425965789037581,0.22046916040351563,0.8183649169894438
RGS8,V5,41,41,0.8681420813663075,-0.20304398488480643,-0.637077369378404,0.23098939960879114,0.9964165017853371
IL11,V3,41,42,0.12305269923369358,0.3402830549984087,-0.09320291218738125,0.7737690221841986,0.8183649169894438
IL11,V5,41,41,0.7328651667700142,-0.1035413951983404,-0.5367301864336349,0.3296473960369541,0.9863373297130268
IL17F,V3,41,42,0.505194238656606,0.29513982041049247,-0.13756083669086666,0.7278404775118517,0.8358069549769376
IL17F,V5,41,41,0.5063189318722715,0.10013425454169642,-0.3330353047238316,0.5333038138072244,0.9248070286238428
SCGN,V3,41,42,0.0056049772010929,-0.6090918084583098,-1.0495027482796673,-0.1686808686369523,0.8183649169894438
