population,timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
CD4T.TEMRA,V1,43,41,0.42257937957458175,0.22132848931328716,-0.20783880915129974,0.6504957877778741,0.6960130957698993
CD4T.TEMRA,V3,40,42,0.4973604839100454,0.23158259817172372,-0.20292210256957732,0.6660872989130248,0.7028238995351167
CD4T.TEMRA,V5,41,41,0.4012994224501486,-0.33652498405624703,-0.7725458918110539,0.09949592369855986,0.9363653190503468
CD4T.TEM,V1,43,41,0.8720338723008032,0.10878134163366052,-0.3193708340902197,0.5369335173575407,0.9361546025248264
CD4T.TEM,V3,40,42,0.9008814563365863,0.1108032634178674,-0.32255737872296625,0.5441639055587011,0.9342474362009043
CD4T.TEM,V5,41,41,0.45813271046599485,-0.26273514072772824,-0.6975368499572556,0.1720665685017992,0.9543980140599518
Tregs,V1,43,41,0.13799053708121023,-0.4075202182752067,-0.8398710575897285,0.024830621039315104,0.6439558397123144
Tregs,V3,40,42,0.5271179246513376,-0.142466221649827,-0.5760489572567444,0.2911165139570904,0.7028238995351167
Tregs,V5,41,41,0.12827326907391762,-0.40495611931145126,-0.8423718355945223,0.03245959697161982,0.5986085890116156
CD8T,V1,43,41,0.372766886625933,0.21352448509486682,-0.21555019044628343,0.6425991606360171,0.6960130957698993
CD8T,V3,40,42,0.20326881028040156,0.18156815846070662,-0.25236525145910105,0.6155015683805143,0.6668970236780296
CD8T,V5,41,41,0.38531536163498215,-0.24108629394127196,-0.6755867491818424,0.1934141612992984,0.9363653190503468
CD8T.TCM,V1,43,41,0.2845120548171836,0.13409754995189993,-0.29422279374701715,0.5624178936508171,0.6638614612400952
CD8T.TCM,V3,40,42,0.3826453342075433,0.15854478254400164,-0.2751719369687162,0.5922615020567195,0.6874438461966669
CD8T.TCM,V5,41,41,0.5609728094113208,-0.20071663231230574,-0.6347240248974637,0.23329076027285217,0.9723191311302646
CD8T.Naive,V1,43,41,0.5271407229960122,0.1673704574529633,-0.2612240831780609,0.5959649980839875,0.7028542973280163
CD8T.Naive,V3,40,42,0.474207599604057,0.18478343956412605,-0.24918255701251082,0.6187494361407629,0.7028238995351167
CD8T.Naive,V5,41,41,0.6915923099423628,-0.07757623235892556,-0.5106346762851305,0.3554822115672793,0.9723191311302646
CD8T.TEMRA,V1,43,41,0.28050109872596896,0.24711899169519402,-0.1823778904186253,0.6766158738090133,0.6638614612400952
CD8T.TEMRA,V3,40,42,0.27323660464615374,0.20537339101908111,-0.22881477782329104,0.6395615598614532,0.6668970236780296
CD8T.TEMRA,V5,41,41,0.9630150927032557,-0.24063788259285848,-0.675132369542987,0.19385660435727012,0.9999999999999993
CD8T.TEM,V1,43,41,0.18241767170560208,0.04402819140327257,-0.38385322161873,0.47190960442527513,0.6638614612400952
CD8T.TEM,V3,40,42,0.2656144556554315,0.1597164036786615,-0.27401063683237215,0.5934434441896951,0.6668970236780296
CD8T.TEM,V5,41,41,0.9926413687507629,-0.18917530673759383,-0.6230582113840993,0.2447075979089117,0.9999999999999993
HLADRpos.T,V1,43,41,0.2686970266081843,0.05836600428431869,-0.36955559269762367,0.4862876012662611,0.6638614612400952
HLADRpos.T,V3,40,42,0.05391808205078434,0.2652324130766022,-0.1697339393458704,0.7001987654990749,0.6668970236780296
HLADRpos.T,V5,41,41,0.8464168650825652,-0.09174619877544134,-0.5248711494358982,0.34137875188501554,0.9723191311302646
TCRgd.cells,V1,43,41,0.662644424002323,-0.20812821094366046,-0.6371407730224137,0.2208843511350927,0.8433656305484112
TCRgd.cells,V3,40,42,0.6214575297733076,-0.04094660777179823,-0.4740134876245826,0.3921202720809861,0.756556992767505
TCRgd.cells,V5,41,41,0.15668459590645664,-0.3751010248824567,-0.8118771089940264,0.06167505922911304,0.6267383836258266
