protein,n_synf,n_ctrlf,p_value,p_fdr
KLRD1,41,42,0.37155715715541726,1
KRT19,41,42,0.7272162492611288,1
KYNU,41,42,0.7272162492611288,1
LAIR1,41,42,0.673493739572174,1
LAMA4,41,42,0.9674843739256045,1
LAMP3,41,42,0.12988406779464845,1
LAP3,41,42,0.7753481969450382,1
LAT,41,42,0.9963861751691563,1
LGALS4,41,42,0.13222474632303835,1
LGALS9,41,42,0.960264053498391,1
LGMN,41,42,0.7068975796642928,1
LHPP,41,42,0.16847776753800905,1
LIFR,41,42,0.7546034501442722,1
LILRB4,41,42,0.49365855559262845,1
LRRN1,41,42,0.8526707763765226,1
LSP1,41,42,0.27000631597505353,1
LTBR,41,42,0.3430460844280935,1
LTO1,41,42,0.9170302125824953,1
LY6D,41,42,0.6149784304047602,1
LY75,41,42,0.9745685433563802,1
LY9,41,42,0.21376426097764564,1
MANF,41,42,0.5587909319943557,1
MAP2K6,41,42,0.6342391092504543,1
MAPK9,41,42,0.11437995850028425,1
MATN2,41,42,0.6867833919433709,1
MEGF10,41,42,0.6619679380369354,1
MEPE,41,42,0.2359538527112615,1
MERTK,41,42,0.01939947639792434,1
METAP1D,41,42,0.5110143023152617,1
MGMT,41,42,0.39639348049278,1
MICB_MICA,41,42,0.11650219979128075,1
MILR1,41,42,0.7204214301842432,1
MLN,41,42,0.8954960480996333,1
MMP1,41,42,0.6801262811709131,1
MMP10,41,42,0.5649104793631483,1
MPIG6B,41,42,0.6801262811709131,1
MVK,41,42,0.3159582407694676,1
MYO9B,41,42,0.12757532844672814,1
MZB1,41,42,0.8032540131111602,1
NBN,41,42,0.6537479778456265,1
NCF2,41,42,0.7272162492611288,1
NCK2,41,42,0.5466482575921847,1
NCLN,41,42,0.7136483804017049,1
NCR1,41,42,0.6213704030163435,1
NELL2,41,42,0.8455713448485529,1
NFASC,41,42,0.08602762581395747,1
NFATC1,41,42,0.673493739572174,1
NFATC3,41,42,0.3072464425439339,1
NME3,41,42,0.8883340984505821,1
NPPC,41,42,0.505194238656606,1
NRTN,41,42,0.6472181322858683,1
NT5C3A,41,42,0.32932370860198124,1
NTF3,41,42,0.9098446790172188,1
NUB1,41,42,0.5168688214617734,1
NUDC,41,42,0.14695280022436122,1
OMD,41,42,0.8314101790488522,1
OSCAR,41,42,0.2218273900523869,1
OSM,41,42,0.6086152385433862,1
PADI2,41,42,0.32482886428201696,1
PAPPA,41,42,0.9674843739256045,1
PARP1,41,42,0.9891588188175907,1
PCDH1,41,42,0.8526707763765226,1
PDGFB,41,42,0.9674843739256045,1
PDLIM7,41,42,0.6342391092504543,1
PGF,41,42,0.23958169977160865,1
PIK3AP1,41,42,0.23958169977160865,1
PKLR,41,42,0.21839139951683872,1
PLA2G4A,41,42,0.9098446790172188,1
PLAUR,41,42,0.5649104793631483,1
PLXNA4,41,42,0.5466482575921847,1
PNLIPRP2,41,42,0.1419116102281885,1
PNPT1,41,42,0.19539513844872133,1
PON3,41,42,0.43278243429198293,1
PPP1R9B,41,42,0.4381325207032406,1
PRDX3,41,42,0.7001695026091996,1
PRDX5,41,42,0.4710121083671921,1
PREB,41,42,0.2739858895438866,1
PRELP,41,42,0.8455713448485529,1
PRKAB1,41,42,0.23958169977160865,1
PRKCQ,41,42,0.7272162492611288,1
PROK1,41,42,0.9819323423259685,1
PRSS8,41,42,0.7822993194060897,1
PSIP1,41,42,0.9819323423259685,1
PSMG3,41,42,0.19225894808961128,1
PSPN,41,42,0.5772443226621816,1
PTH1R,41,42,0.6867833919433709,1
PTPN6,41,42,0.6603041488097462,1
PTX3,41,42,0.3667069748735292,1
RAB37,41,42,0.19856825748163423,1
RABGAP1L,41,42,0.0779359040765465,1
REG4,41,42,0.27800491468365573,1
RGS8,41,42,0.5527034155695448,1
ROBO1,41,42,0.522757517712014,1
SAMD9L,41,42,0.33385821380041214,1
SCG3,41,42,0.7136483804017049,1
SCGB1A1,41,42,0.9891588188175907,1
SCGB3A2,41,42,0.3203737031139622,1
SCGN,41,42,0.1601470760397369,1
SCRN1,41,42,0.16847776753800905,1
SELPLG,41,42,0.7477264501483714,1
SERPINB8,41,42,0.7892676803168979,1
SH2D1A,41,42,0.9098446790172188,1
