feature,modality,feature_name,module,kME
Olink_IL7,Olink,IL7,turquoise,0.6147158667373923
Olink_SAMD9L,Olink,SAMD9L,turquoise,0.9025539765860574
Olink_SIGLEC10,Olink,SIGLEC10,brown,0.7348598972367102
Olink_ISM1,Olink,ISM1,blue,0.2629646884766111
Olink_SLC39A5,Olink,SLC39A5,blue,0.5759058793402263
Olink_BTN3A2,Olink,BTN3A2,turquoise,0.322170946189155
Olink_MLN,Olink,MLN,blue,0.40948389883553865
Olink_SCRN1,Olink,SCRN1,turquoise,0.7396522724373941
Olink_PROK1,Olink,PROK1,turquoise,0.18096546278633574
Olink_IKBKG,Olink,IKBKG,turquoise,0.947906203580218
Olink_NFATC1,Olink,NFATC1,turquoise,0.9168131350491269
Olink_CCL26,Olink,CCL26,turquoise,0.47240080195561507
Olink_CLEC4C,Olink,CLEC4C,yellow,0.7128715954321592
Olink_CEACAM21,Olink,CEACAM21,blue,0.3691060029373555
Olink_PSMG3,Olink,PSMG3,turquoise,0.7755784835981052
Olink_COL9A1,Olink,COL9A1,turquoise,0.36675672931810904
Olink_GOPC,Olink,GOPC,turquoise,0.9371885614804668
Olink_MAP2K6,Olink,MAP2K6,turquoise,0.8760518063229701
Olink_NT5C3A,Olink,NT5C3A,turquoise,0.8311632941300974
Olink_ARHGEF12,Olink,ARHGEF12,turquoise,0.7215659892472772
Olink_CASP2,Olink,CASP2,turquoise,0.8426001014764255
Olink_CNTNAP2,Olink,CNTNAP2,blue,0.761412460084454
Olink_MAPK9,Olink,MAPK9,turquoise,0.7311220987946359
Olink_BCR,Olink,BCR,turquoise,0.9306821264723177
Olink_CLIP2,Olink,CLIP2,turquoise,0.9001863509776321
Olink_SELPLG,Olink,SELPLG,turquoise,0.0415219518984285
Olink_CXADR,Olink,CXADR,blue,0.6220018310995004
Olink_IL15,Olink,IL15,blue,0.44117829422262694
Olink_IL6,Olink,IL6,turquoise,0.2216212281089047
Olink_FCAR,Olink,FCAR,turquoise,0.624724334745748
Olink_CD83,Olink,CD83,brown,0.589210482993043
Olink_NCR1,Olink,NCR1,brown,0.6825274471152338
Olink_NCF2,Olink,NCF2,turquoise,0.7511736438308337
Olink_NPPC,Olink,NPPC,blue,0.8096356330108128
Olink_CCL28,Olink,CCL28,green,0.8688352753651034
Olink_PTX3,Olink,PTX3,turquoise,0.1677560625770782
Olink_PTH1R,Olink,PTH1R,blue,0.7003701540800984
Olink_EGLN1,Olink,EGLN1,turquoise,0.8776650265658097
Olink_CLEC4A,Olink,CLEC4A,turquoise,0.13223433877893928
Olink_OSM,Olink,OSM,turquoise,0.59357451567483
Olink_HSD11B1,Olink,HSD11B1,yellow,0.7731723218232412
Olink_IL4R,Olink,IL4R,blue,0.5684308286960786
Olink_IRAK4,Olink,IRAK4,turquoise,0.9249207933129633
Olink_ICAM4,Olink,ICAM4,blue,0.6337757359825269
Olink_DECR1,Olink,DECR1,turquoise,0.8302668169751265
Olink_LY75,Olink,LY75,brown,0.5896695312121948
Olink_ITGA11,Olink,ITGA11,yellow,0.4183569614459821
Olink_AXIN1,Olink,AXIN1,turquoise,0.9523789342581394
Olink_ANXA11,Olink,ANXA11,turquoise,0.655653478401292
Olink_CD4,Olink,CD4,blue,0.6104743197363239
Olink_IL17RB,Olink,IL17RB,blue,0.4815720030231487
Olink_PIK3AP1,Olink,PIK3AP1,turquoise,0.8656568343393741
Olink_MGMT,Olink,MGMT,turquoise,0.93748296686632
Olink_HEXIM1,Olink,HEXIM1,turquoise,0.8928808587056966
Olink_CLEC4G,Olink,CLEC4G,yellow,0.7097380923974096
Olink_NTF3,Olink,NTF3,blue,0.3861856131925464
Olink_TNFSF11,Olink,TNFSF11,turquoise,0.11669742194297347
Olink_MICB_MICA,Olink,MICB_MICA,turquoise,0.042508578867472786
Olink_BANK1,Olink,BANK1,turquoise,0.8831032851908801
Olink_CD200R1,Olink,CD200R1,turquoise,0.13338888623689324
Olink_KRT19,Olink,KRT19,yellow,0.4417486531303394
Olink_PLXNA4,Olink,PLXNA4,turquoise,0.8224324203960474
Olink_CD70,Olink,CD70,turquoise,0.1055323332414845
Olink_TGFA,Olink,TGFA,turquoise,0.49397388767714095
Olink_IL5RA,Olink,IL5RA,turquoise,0.16288371680397273
Olink_SLAMF7,Olink,SLAMF7,brown,0.8532185809628517
Olink_CD200,Olink,CD200,yellow,0.5866851350409122
Olink_GZMB,Olink,GZMB,turquoise,0.6194878430169438
Olink_IL32,Olink,IL32,brown,0.6540742574408548
Olink_LIFR,Olink,LIFR,blue,0.7002427857776046
Olink_CD84,Olink,CD84,turquoise,0.6593743717779799
Olink_CLEC4D,Olink,CLEC4D,turquoise,0.4726630679764199
Olink_CCL3,Olink,CCL3,turquoise,0.5744437592639072
Olink_TNFSF10,Olink,TNFSF10,brown,0.7208483896426298
Olink_TLR3,Olink,TLR3,brown,0.3553953830326425
Olink_CXCL6,Olink,CXCL6,turquoise,0.6726201021197198
Olink_PCDH1,Olink,PCDH1,blue,0.05045544758935946
Olink_HPCAL1,Olink,HPCAL1,turquoise,0.8447059417126263
Olink_CKAP4,Olink,CKAP4,blue,0.8838166819668618
Olink_FKBP1B,Olink,FKBP1B,turquoise,0.7960925224970918
Olink_DFFA,Olink,DFFA,turquoise,0.8917932710367509
Olink_TGFB1,Olink,TGFB1,turquoise,0.7035567942475344
Olink_CXCL17,Olink,CXCL17,yellow,0.46494542796355254
Olink_NUDC,Olink,NUDC,turquoise,0.891568564986607
Olink_TNFSF12,Olink,TNFSF12,turquoise,0.5535663540995105
Olink_EIF4G1,Olink,EIF4G1,turquoise,0.8953698471085907
Olink_BSG,Olink,BSG,blue,0.7219106221391786
Olink_DNAJA2,Olink,DNAJA2,turquoise,0.9327108553364
Olink_CD244,Olink,CD244,brown,0.8002331531648896
Olink_KLRB1,Olink,KLRB1,brown,0.7905519443127319
Olink_SERPINB8,Olink,SERPINB8,turquoise,0.7625765453216456
Olink_CXCL8,Olink,CXCL8,turquoise,0.6063033550019847
Olink_KLRD1,Olink,KLRD1,brown,0.7868416418833197
Olink_IL16,Olink,IL16,turquoise,0.8233517592114068
Olink_NFASC,Olink,NFASC,brown,0.39495699970224685
Olink_CD79B,Olink,CD79B,brown,0.453062750532424
Olink_CD22,Olink,CD22,yellow,0.8721010697599633
Olink_LAMP3,Olink,LAMP3,brown,0.7073286576482868
Olink_FCRL2,Olink,FCRL2,yellow,0.8442797263476768
Olink_LAT,Olink,LAT,turquoise,0.8515659106989327
Olink_GMPR,Olink,GMPR,turquoise,0.7616209080177988
Olink_TPSAB1,Olink,TPSAB1,turquoise,0.13165099250116777
Olink_PPP1R9B,Olink,PPP1R9B,turquoise,0.927764248927769
Olink_PRDX5,Olink,PRDX5,turquoise,0.8978466060973682
Olink_ADA,Olink,ADA,turquoise,0.7399196335761734
Olink_TNFRSF11A,Olink,TNFRSF11A,blue,0.8686005131139691
Olink_CD160,Olink,CD160,brown,0.7030689881364623
Olink_HCLS1,Olink,HCLS1,turquoise,0.9145234196351413
Olink_CD6,Olink,CD6,yellow,0.6883483031317856
Olink_VEGFA,Olink,VEGFA,turquoise,0.6124199700011504
